"code","site","species"
"0403","Siecino",""
"0502","Siecino",""
"0503","Siecino",""
"0505","Siecino",""
"0506","Siecino",""
"0507","Siecino",""
"0509","Siecino",""
"0510","Siecino",""
"0511","Siecino",""
"0601","Drawsko",""
"0602","Drawsko",""
"0603","Drawsko",""
"0604","Drawsko",""
"0605","Drawsko",""
"0606","Drawsko",""
"0607","Drawsko",""
"0608","Drawsko",""
"0609","Drawsko",""
"0610","Drawsko",""
"0612","Drawsko",""
"0701","Siecino",""
"0702","Siecino",""
"0704","Siecino",""
"0705","Siecino",""
"0706","Siecino",""
"0707","Siecino",""
"0708","Siecino",""
"0711","Siecino",""
"0901","Siecino",""
"0906","Drawsko",""
"0907","Drawsko",""
"0910","Drawsko",""
"0912","Siecino",""
"1101","Insko",""
"1102","Insko",""
"1103","Insko",""
"1104","Insko",""
"1105","Insko",""
"1106","Insko",""
"1107","Insko",""
"1108","Insko",""
"1109","Insko",""
"1110","Insko",""
"1111","Insko",""
"0802","Insko",""
"0804","Insko",""
"0810","Insko",""
"1004","Insko",""
"1010","Insko",""
"1205","Glebokie",""
"1206","Glebokie",""
"1208","Glebokie",""
"1209","Glebokie",""
"1211","Glebokie",""
"1301","Glebokie",""
"1302","Glebokie",""
"1303","Glebokie",""
"1304","Glebokie",""
"1306","Glebokie",""
"1307","Glebokie",""
"1310","Glebokie",""
"1311","Glebokie",""
"1401","Glebokie",""
"1403","Glebokie",""
"1406","Glebokie",""
"1407","Glebokie",""
"1408","Glebokie",""
"1410","Glebokie",""
"1411","Glebokie",""
"1601","Glebokie",""
"1604","Glebokie",""
"1608","Glebokie",""
"1610","Glebokie",""
"1612","Glebokie",""
"1501","Glebokie",""
"1502","Glebokie",""
"1503","Glebokie",""
"1504","Glebokie",""
"1508","Glebokie",""
"1509","Glebokie",""
"1510","Glebokie",""
"1512","Glebokie",""
"1701","Glebokie",""
"1702","Glebokie",""
"1703","Glebokie",""
"1705","Glebokie",""
"1709","Glebokie",""
"1710","Glebokie",""
"1711","Glebokie",""
"1803","Odra",""
"1804","Odra",""
"1806","Odra",""
"1807","Odra",""
"1809","Odra",""
"1812","Odra",""
"1901","Odra",""
"1903","Odra",""
"1905","Odra",""
"1907","Odra",""
"1909","Odra",""
"1910","Odra",""
"1912","Odra",""
"2001","Odra",""
"2003","Odra",""
"2004","Odra",""
"2005","Odra",""
"2006","Odra",""
"2009","Odra",""
"2010","Odra",""
"2102","Odra",""
"2103","Odra",""
"2104","Odra",""
"2105","Odra",""
"2108","Odra",""
"2109","Odra",""
"2111","Odra",""
"2201","Odra",""
"2202","Odra",""
"2205","Odra",""
"2207","Odra",""
"2208","Odra",""
"2211","Odra",""
"2212","Odra",""
"2301","Obok Lomota",""
"2302","Obok Lomota",""
"2303","Obok Lomota",""
"2304","Obok Lomota",""
"2305","Obok Lomota",""
"2306","Obok Lomota",""
"2307","Obok Lomota",""
"2308","Obok Lomota",""
"2309","Obok Lomota",""
"2310","Obok Lomota",""
"2312","Obok Lomota",""
"2401","Obok Lomota",""
"2402","Obok Lomota",""
"2403","Obok Lomota",""
"2404","Obok Lomota",""
"2405","Obok Lomota",""
"2406","Obok Lomota",""
"2407","Obok Lomota",""
"2408","Obok Lomota",""
"2409","Obok Lomota",""
"2411","Obok Lomota",""
"2412","Obok Lomota",""
"2501","Obok Lomota",""
"2502","Obok Lomota",""
"2504","Obok Lomota",""
"2505","Obok Lomota",""
"2506","Obok Lomota",""
"2507","Obok Lomota",""
"2508","Obok Lomota",""
"2509","Obok Lomota",""
"2510","Obok Lomota",""
"2511","Obok Lomota",""
"2512","Obok Lomota",""
"2601","Obok Lomota",""
"2602","Obok Lomota",""
"2603","Obok Lomota",""
"2604","Obok Lomota",""
"2605","Obok Lomota",""
"2607","Obok Lomota",""
"2608","Obok Lomota",""
"2609","Obok Lomota",""
"2610","Obok Lomota",""
"2611","Obok Lomota",""
"2612","Obok Lomota",""
"2701","Przeclaw",""
"2702","Przeclaw",""
"2703","Przeclaw",""
"2704","Przeclaw",""
"2705","Przeclaw",""
"2706","Przeclaw",""
"2707","Przeclaw",""
"2709","Przeclaw",""
"2710","Przeclaw",""
"2711","Przeclaw",""
"2712","Przeclaw",""
"2801","Przeclaw",""
"2802","Przeclaw",""
"2803","Przeclaw",""
"2804","Przeclaw",""
"2805","Przeclaw",""
"2806","Przeclaw",""
"2807","Przeclaw",""
"2809","Przeclaw",""
"2810","Przeclaw",""
"2811","Przeclaw",""
"2812","Przeclaw",""
"2902","Przeclaw",""
"2903","Przeclaw",""
"2904","Przeclaw",""
"2905","Przeclaw",""
"2906","Przeclaw",""
"2908","Przeclaw",""
"2909","Przeclaw",""
"2911","Przeclaw",""
"2912","Przeclaw",""
"3401","Przeclaw",""
"3402","Przeclaw",""
"3404","Przeclaw",""
"3406","Przeclaw",""
"3409","Przeclaw",""
"3410","Przeclaw",""
"3411","Przeclaw",""
"3412","Przeclaw",""
